Date,Series,Open,High,Low,Prev. close,Ltp,Close,Vwap,52w h,52w l,Volume,Value,No of trades
25-Apr-2024,EQ,165.4,168.0,164.15,165.55,167.0,167.7,166.15,169.8,104.05,50128523,8328769807.6,251319
24-Apr-2024,EQ,162.45,166.9,161.45,161.15,165.7,165.55,164.89,169.8,104.05,59894921,9875869663.5,285424
23-Apr-2024,EQ,163.5,163.5,160.8,161.85,161.1,161.15,161.98,169.8,104.05,30295177,4907204050.1,193536
22-Apr-2024,EQ,163.8,164.7,161.5,162.1,162.1,161.85,162.68,169.8,104.05,39304790,6394260034.35,218374
19-Apr-2024,EQ,160.0,162.5,157.3,160.05,161.9,162.1,160.47,169.8,104.05,60078229,9640777692.75,335708
18-Apr-2024,EQ,160.9,164.0,159.15,160.05,161.2,160.05,161.96,169.8,104.05,68093672,11028307685.7,342037
16-Apr-2024,EQ,160.85,162.45,159.0,160.85,160.3,160.05,160.8,169.8,104.05,41391261,6655779993.65,246139
15-Apr-2024,EQ,161.8,164.7,158.6,163.5,161.15,160.85,161.55,169.8,104.05,66426404,10731469727.25,393289
12-Apr-2024,EQ,166.0,166.0,163.0,165.05,163.5,163.5,164.33,169.8,104.05,55317636,9090422774.55,311078
10-Apr-2024,EQ,167.3,169.2,164.5,166.0,165.1,165.05,166.69,169.8,104.05,64134758,10690358754.0,352243
09-Apr-2024,EQ,166.0,169.8,165.2,165.2,166.05,166.0,167.56,169.8,104.05,63884687,10704298236.3,306316
08-Apr-2024,EQ,166.95,166.95,164.2,163.35,164.9,165.2,165.36,166.95,104.05,48255703,7979491102.0,262899
05-Apr-2024,EQ,163.9,164.15,160.8,163.4,163.3,163.35,162.44,166.25,103.2,44668121,7256080475.65,259852
04-Apr-2024,EQ,165.55,165.95,161.0,163.65,163.95,163.4,163.29,166.25,103.2,61094750,9976016855.6,346150
03-Apr-2024,EQ,164.65,166.25,163.1,164.65,163.6,163.65,164.75,166.25,103.2,50938559,8391959653.7,358923
02-Apr-2024,EQ,162.95,165.5,161.8,163.15,164.6,164.65,163.87,165.5,103.2,69533405,11394381243.0,335307
01-Apr-2024,EQ,156.8,163.9,156.5,155.85,162.8,163.15,161.41,163.9,103.2,84583929,13652541333.45,397933
28-Mar-2024,EQ,152.7,157.0,152.7,152.7,156.2,155.85,155.17,159.15,101.65,62575327,9710120664.75,329742
27-Mar-2024,EQ,152.45,154.1,152.0,152.4,152.6,152.7,153.04,159.15,101.65,35328794,5406735730.8,199762
26-Mar-2024,EQ,151.15,153.4,150.5,151.8,152.25,152.4,152.04,159.15,101.65,52965508,8052925286.5,293448
22-Mar-2024,EQ,149.0,152.75,148.35,150.1,151.45,151.8,151.31,159.15,101.55,68241556,10325386812.25,311476
21-Mar-2024,EQ,148.0,151.2,147.8,145.65,150.2,150.1,150.09,159.15,101.55,84225737,12641413031.4,439293
20-Mar-2024,EQ,149.6,150.65,143.85,148.75,145.4,145.65,146.24,159.15,101.55,77550319,11341230039.55,343720
19-Mar-2024,EQ,149.0,152.45,147.6,149.7,148.7,148.75,149.67,159.15,101.55,105004268,15716192714.6,517768
18-Mar-2024,EQ,142.55,150.25,142.2,141.7,148.8,149.7,147.47,159.15,101.55,166913078,24613925688.7,575951
15-Mar-2024,EQ,142.9,143.7,139.85,142.45,141.8,141.7,141.75,159.15,101.55,68482621,9707707220.45,340024
14-Mar-2024,EQ,143.6,143.95,138.35,143.65,142.7,142.45,141.39,159.15,101.55,91956952,13001414682.75,473239
13-Mar-2024,EQ,152.8,152.9,142.5,152.5,143.35,143.65,146.32,159.15,101.55,70937597,10379400488.5,386517
12-Mar-2024,EQ,154.2,154.55,150.9,153.45,152.3,152.5,152.46,159.15,101.55,34947937,5328122657.4,251671
11-Mar-2024,EQ,158.9,158.9,153.0,157.25,153.75,153.45,154.27,159.15,101.55,54155385,8354583831.05,350516
07-Mar-2024,EQ,152.4,159.15,152.25,151.6,157.05,157.25,156.5,159.15,101.55,124847699,19539009874.65,569247
06-Mar-2024,EQ,151.8,152.65,147.9,151.85,151.75,151.6,149.88,156.2,101.55,51782444,7761123617.7,248968
05-Mar-2024,EQ,153.2,154.0,150.75,153.1,152.0,151.85,152.4,156.2,101.55,37165490,5664192406.9,255164
04-Mar-2024,EQ,154.9,154.9,151.05,155.25,153.0,153.1,153.02,156.2,101.55,67577785,10340752738.5,453939
02-Mar-2024,EQ,152.0,156.2,151.0,149.95,155.35,155.25,154.02,156.2,101.55,21643047,3333479361.5,139508
01-Mar-2024,EQ,143.0,150.65,143.0,140.85,150.55,149.95,147.83,150.65,101.55,123709943,18288283973.95,452172
29-Feb-2024,EQ,140.8,141.85,139.4,140.75,141.6,140.85,140.78,147.4,101.55,32248156,4540048126.75,184138
28-Feb-2024,EQ,144.05,144.95,140.05,144.2,140.7,140.75,142.2,147.4,101.55,20721926,2946618968.4,194968
27-Feb-2024,EQ,142.65,144.5,142.0,142.65,144.2,144.2,143.45,147.4,101.55,24119469,3459828038.65,181981
26-Feb-2024,EQ,145.85,145.95,142.25,145.45,142.6,142.65,143.68,147.4,101.55,22570277,3242862425.45,181967
23-Feb-2024,EQ,146.4,147.1,145.0,145.9,145.4,145.45,146.22,147.4,101.55,28414697,4154798679.2,206077
22-Feb-2024,EQ,145.0,146.15,143.5,143.9,145.95,145.9,145.05,147.4,101.55,46728176,6778128561.45,301165
21-Feb-2024,EQ,141.55,146.2,141.45,141.05,144.0,143.9,144.64,147.4,101.55,88000833,12728088397.95,402755
20-Feb-2024,EQ,141.95,142.25,140.05,141.95,141.15,141.05,140.86,147.4,101.55,24291123,3421558010.6,169579
19-Feb-2024,EQ,142.95,143.35,141.35,142.3,141.8,141.95,142.28,147.4,101.55,16973568,2414947922.85,148665
16-Feb-2024,EQ,142.05,143.45,141.5,141.2,142.25,142.3,142.68,147.4,101.55,22316127,3184104399.85,159823
15-Feb-2024,EQ,141.5,143.45,141.0,141.2,141.1,141.2,142.05,147.4,101.55,31587387,4487016479.1,201451
14-Feb-2024,EQ,137.0,141.5,135.75,137.85,141.45,141.2,138.83,147.4,101.55,29141690,4045831003.05,202721
13-Feb-2024,EQ,137.75,138.25,134.1,137.4,137.8,137.85,136.95,147.4,101.55,39155909,5362327557.6,205902
12-Feb-2024,EQ,142.0,142.95,136.65,141.3,137.5,137.4,139.16,147.4,101.55,36477544,5076268769.2,219005
09-Feb-2024,EQ,144.2,144.45,139.15,143.65,141.3,141.3,141.21,147.4,101.55,35961925,5078064740.8,237401
08-Feb-2024,EQ,145.3,145.65,143.05,144.4,143.8,143.65,144.24,147.4,101.55,38997666,5624977247.2,256373
07-Feb-2024,EQ,146.85,147.4,144.05,144.65,144.4,144.4,145.61,147.4,101.55,61517064,8957448815.35,292894
06-Feb-2024,EQ,143.0,145.1,140.45,141.55,144.6,144.65,143.03,145.1,101.55,53192936,7608022638.7,256507
05-Feb-2024,EQ,140.0,143.35,139.35,138.7,141.6,141.55,141.5,143.35,101.55,80737626,11424281407.05,375154
02-Feb-2024,EQ,135.3,139.6,134.8,134.8,138.6,138.7,137.64,141.25,101.55,69296192,9538094505.8,353725
01-Feb-2024,EQ,136.4,136.75,134.5,135.95,134.9,134.8,135.69,141.25,101.55,31701793,4301505287.6,214127
31-Jan-2024,EQ,135.0,136.7,134.5,134.7,135.95,135.95,135.84,141.25,101.55,36079354,4900953896.15,217115
30-Jan-2024,EQ,135.6,137.7,134.5,135.0,134.75,134.7,136.17,141.25,101.55,35704185,4861961220.2,245199
29-Jan-2024,EQ,134.7,135.4,133.5,133.75,135.05,135.0,134.67,141.25,101.55,29745400,4005683022.65,187551
25-Jan-2024,EQ,136.5,136.5,132.0,135.15,134.15,133.75,134.19,141.25,101.55,61358839,8233755323.5,306685
