Date,Series,Open,High,Low,Prev. close,Ltp,Close,Vwap,52w h,52w l,Volume,Value,No of trades
16-Apr-2024,EQ,201.75,207.75,201.05,203.65,205.1,204.95,205.88,225.35,105.15,2810580,578628644.75,29469
15-Apr-2024,EQ,205.5,211.55,201.75,215.75,203.5,203.65,206.54,225.35,105.15,5432526,1122011178.9,48476
12-Apr-2024,EQ,215.0,223.0,213.9,215.6,216.05,215.75,218.27,225.35,105.15,6562409,1432400065.45,47521
10-Apr-2024,EQ,218.0,219.4,214.15,215.95,215.2,215.6,216.58,225.35,105.15,2502621,542014875.4,23658
09-Apr-2024,EQ,215.25,220.6,214.05,214.25,216.6,215.95,216.9,225.35,105.15,3930429,852524087.75,31416
08-Apr-2024,EQ,219.5,224.5,213.05,217.8,215.0,214.25,218.17,225.35,105.15,6394637,1395111909.65,50584
05-Apr-2024,EQ,219.25,223.9,217.0,219.5,217.6,217.8,219.35,225.35,105.15,4241301,930311111.6,41712
04-Apr-2024,EQ,223.15,223.5,217.25,221.05,219.4,219.5,219.5,225.35,105.15,4784705,1050236394.35,40656
03-Apr-2024,EQ,220.9,225.2,218.5,221.4,221.3,221.05,221.66,225.35,105.15,7174913,1590359947.0,49248
02-Apr-2024,EQ,223.95,225.25,219.2,223.95,221.5,221.4,221.72,225.35,105.15,5459198,1210388673.25,40638
01-Apr-2024,EQ,214.95,225.35,214.3,212.55,224.0,223.95,221.48,225.35,105.15,8034855,1779586014.5,56324
28-Mar-2024,EQ,217.5,221.5,207.0,217.45,212.6,212.55,217.08,224.35,105.15,7303255,1585390077.2,50961
27-Mar-2024,EQ,217.55,224.35,215.35,216.3,216.85,217.45,220.03,224.35,105.15,19613495,4315640910.7,122410
26-Mar-2024,EQ,197.8,218.65,195.4,197.9,215.1,216.3,212.93,218.8,105.15,27927981,5946720784.1,155800
22-Mar-2024,EQ,198.55,201.5,195.65,198.55,198.25,197.9,198.9,218.8,105.15,3791688,754158854.7,34790
21-Mar-2024,EQ,196.0,204.3,195.1,192.85,198.4,198.55,199.94,218.8,105.15,7469185,1493410787.7,65582
20-Mar-2024,EQ,192.9,200.9,186.65,191.55,193.1,192.85,193.69,218.8,105.15,7009831,1357768668.3,63232
19-Mar-2024,EQ,195.7,199.4,190.0,195.5,191.6,191.55,193.84,218.8,105.15,4073334,789584683.45,44901
18-Mar-2024,EQ,204.95,206.4,194.25,205.85,195.75,195.5,199.62,218.8,105.15,7535973,1504342633.6,82082
15-Mar-2024,EQ,183.8,209.95,178.45,184.4,207.0,205.85,196.55,218.8,105.15,12708758,2497938285.95,97536
14-Mar-2024,EQ,173.1,186.5,168.8,174.4,184.95,184.4,180.23,218.8,105.15,7577198,1365653466.9,75165
13-Mar-2024,EQ,192.0,193.2,171.0,191.3,173.5,174.4,182.73,218.8,105.15,6641901,1213665481.7,63374
12-Mar-2024,EQ,196.3,196.8,187.95,196.3,190.4,191.3,191.54,218.8,105.15,5810827,1113011068.0,67415
11-Mar-2024,EQ,208.0,208.0,194.55,206.9,195.0,196.3,199.68,218.8,105.15,3174755,633931976.4,49831
07-Mar-2024,EQ,202.95,207.75,201.6,201.35,206.5,206.9,205.1,218.8,105.15,3314534,679810664.6,26781
06-Mar-2024,EQ,208.3,209.1,198.5,208.3,201.0,201.35,201.95,218.8,105.15,5185356,1047183971.6,46149
05-Mar-2024,EQ,208.8,211.8,206.8,207.35,208.3,208.3,209.02,218.8,105.15,3880922,811189407.05,32384
04-Mar-2024,EQ,216.6,217.45,206.05,215.65,209.1,207.35,209.73,218.8,105.15,3981365,835018927.55,45429
02-Mar-2024,EQ,215.0,217.3,214.0,214.1,215.4,215.65,215.76,218.8,101.2,790823,170629486.2,6949
01-Mar-2024,EQ,215.0,218.8,211.7,209.2,213.4,214.1,215.02,218.8,101.2,7700519,1655765402.9,79520
29-Feb-2024,EQ,201.85,213.9,198.1,202.5,213.4,209.2,205.21,217.95,101.2,7210814,1479710006.25,52213
28-Feb-2024,EQ,211.7,214.35,200.0,209.8,202.15,202.5,206.4,217.95,101.2,7411362,1529704156.15,58261
27-Feb-2024,EQ,204.0,212.5,200.9,203.6,210.5,209.8,206.0,217.95,101.2,7258329,1495207391.15,51622
26-Feb-2024,EQ,214.4,215.95,202.5,213.55,204.0,203.6,207.53,217.95,101.2,6883815,1428632503.65,57052
23-Feb-2024,EQ,212.0,217.95,209.35,208.2,213.4,213.55,213.47,217.95,97.6,14151559,3020868675.65,85114
22-Feb-2024,EQ,199.65,211.35,194.25,198.4,208.5,208.2,206.26,215.5,97.6,17421886,3593487133.0,102936
21-Feb-2024,EQ,204.95,207.8,197.55,205.7,198.0,198.4,201.75,215.5,97.6,7531950,1519581978.4,49057
20-Feb-2024,EQ,209.9,209.9,202.35,208.55,205.45,205.7,205.53,215.5,97.6,9223521,1895679353.1,65055
19-Feb-2024,EQ,201.0,215.5,201.0,198.35,209.0,208.55,209.32,215.5,97.6,21294333,4457408315.6,139760
16-Feb-2024,EQ,193.75,204.8,187.5,191.15,198.25,198.35,198.82,204.8,95.0,26873955,5343003863.8,184389
15-Feb-2024,EQ,174.0,196.9,173.45,173.95,190.7,191.15,189.08,196.9,95.0,26323153,4977131827.65,190699
14-Feb-2024,EQ,171.3,177.8,171.0,174.35,174.0,173.95,174.7,193.8,95.0,3391200,592442120.75,29903
13-Feb-2024,EQ,183.0,184.7,172.55,170.75,175.0,174.35,177.51,193.8,95.0,11492226,2039948191.15,93359
12-Feb-2024,EQ,179.9,179.9,166.75,178.85,170.45,170.75,170.82,193.8,95.0,3628681,619834119.5,46707
09-Feb-2024,EQ,180.8,181.55,169.5,180.6,178.05,178.85,175.7,193.8,88.85,3931073,690671450.8,40764
